V : 14.64  , I : 0.80  , P : 11.72  , D : 0.43
V : 14.64  , I : 0.75  , P : 10.98  , D : 0.43
V : 25.58  , I : 0.15  , P : 3.84  , D : 0.00
V : 25.61  , I : 0.15  , P : 3.84  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.58  , I : 0.05  , P : 1.28  , D : 0.00
V : 25.58  , I : -0.05  , P : -1.28  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.61  , I : 0.15  , P : 3.84  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.58  , I : 0.05  , P : 1.28  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.58  , I : -0.10  , P : -2.56  , D : 0.00
V : 25.58  , I : 0.05  , P : 1.28  , D : 0.00
V : 25.58  , I : 0.05  , P : 1.28  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.58  , I : 0.20  , P : 5.12  , D : 0.00
V : 25.58  , I : 0.00  , P : 0.00  , D : 0.00
V : 25.58  , I : 0.20  , P : 5.12  , D : 0.00
V : 25.58  , I : 0.10  , P : 2.56  , D : 0.00
V : 25.58  , I : 0.00  , P : 0.00  , D : 0.00
V : 25.61  , I : 0.05  , P : 1.28  , D : 0.50
V : 12.91  , I : 0.75  , P : 9.69  , D : 0.50
V : 12.91  , I : 0.85  , P : 10.98  , D : 0.50
V : 12.91  , I : 0.90  , P : 11.62  , D : 0.50
V : 12.91  , I : 0.85  , P : 10.98  , D : 0.50
V : 12.88  , I : 0.80  , P : 10.30  , D : 0.50
V : 12.88  , I : 0.75  , P : 9.66  , D : 0.50
V : 12.91  , I : 0.75  , P : 9.69  , D : 0.50
V : 12.91  , I : 0.80  , P : 10.33  , D : 0.50
V : 12.88  , I : 0.85  , P : 10.95  , D : 0.50
V : 12.91  , I : 0.85  , P : 10.98  , D : 0.50
V : 12.91  , I : 0.95  , P : 12.27  , D : 0.50
V : 12.91  , I : 0.75  , P : 9.69  , D : 0.50
V : 12.88  , I : 0.80  , P : 10.30  , D : 0.50
V : 12.91  , I : 0.70  , P : 9.04  , D : 0.50
V : 12.88  , I : 0.75  , P : 9.66  , D : 0.50
V : 12.88  , I : 0.75  , P : 9.66  , D : 0.50
V : 12.85  , I : 0.80  , P : 10.28  , D : 0.50
V : 12.91  , I : 0.80  , P : 10.33  , D : 0.50
V : 12.85  , I : 0.75  , P : 9.63  , D : 0.50
V : 12.91  , I : 0.80  , P : 10.33  , D : 0.50
V : 13.05  , I : 0.75  , P : 9.79  , D : 0.49
