V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.80  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.85  , P : 0.07  , D : 0.00
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.85  , P : 0.07  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.85  , P : 0.07  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.00
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.80  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.80  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.85  , P : 0.07  , D : 0.50
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.50
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
